metric,metric_ko,presentation_note,description,human_ai_cliffs_delta,rewrite_human_cliffs_delta,rewrite_ai_cliffs_delta,gap_closure,improved
pos_3gram_repeat_rate,POS 3-gram 반복률,개선 지표,품사 3-gram 패턴이 반복되는 비율. 같은 문장 구조가 반복되는지 확인한다.,0.3554,0.0026,-0.3848,0.976885806066473,True
comma_per_1k_chars,쉼표 밀도,개선 지표,"1,000자당 쉼표 개수. 한국어 LLM에서 흐름을 끊는 쉼표 과사용을 확인한다.",0.5747,0.259,-0.5828,0.7617761299551044,True
sentence_initial_token_repeat_rate,문장 시작 토큰 반복률,개선 지표,문장 첫 토큰 반복률. 문장 시작 방식이 단조롭게 반복되는지 확인한다.,0.4301,-0.2379,-0.6837,0.5076258722562544,True
simile_marker_per_1k_chars,직유 표지 밀도,개선 지표,"1,000자당 직유 표지 수. ""마치"", ""처럼"", ""같이"", ""듯이"" 등 비유 표지 과사용을 확인한다.",0.6106,0.4353,-0.2498,0.4675215610280686,True
simile_sentence_rate,직유 표지 문장 비율,개선 지표,직유 표지가 포함된 문장 비율. 비유 표현이 문장 단위로 얼마나 자주 등장하는지 확인한다.,0.4938,0.3579,-0.1987,0.45763140412270215,True
modifier_repeat_burst_mass,근접 수식어 반복 질량,개선 지표,가까운 위치에서 수식어가 반복되는 정도. 같은 수식 표현이 짧은 구간에 몰리는 현상을 확인한다.,0.1404,-0.0646,-0.205,0.4107561436458469,True
pos_4gram_diversity,POS 4-gram 다양도,개선 지표,품사 4-gram 다양도. 문장 구조 패턴의 다양성을 확인한다.,-0.5542,-0.3456,0.2968,0.3959252859992034,True
pos_5gram_repeat_rate,POS 5-gram 반복률,개선 지표,품사 5-gram 반복률. 더 긴 문장 구조 패턴이 반복되는지 확인한다.,0.6146,0.4336,-0.2984,0.3500333385216556,True
parenthesis_pair_per_1k_chars,괄호쌍 밀도,"보고서 포함, 발표 제외 후보","1,000자당 괄호쌍 수. 보고서에는 포함되어 있으나 발표 핵심 지표에서는 제외 가능하다.",-0.3785,-0.3506,-0.0089,0.2794332208621389,True
anti_slop_density,AI 상투 표현 밀도,개선 지표,AI 생성문에서 자주 보이는 상투적 강조 표현 밀도.,0.9824,0.9906,-0.2032,0.14957812392232278,True
sentence_final_token_repeat_rate,문장 마지막 토큰 반복률,한계 지표,문장 마지막 토큰 반복률. 동일한 종결 표현 반복을 확인한다.,0.3507,0.3745,0.0326,-0.04297228234225662,False
sentence_length_iqr_ratio,문장 길이 IQR 비율,한계 지표,문장 길이의 사분위 범위 비율. 문장 길이 변화 폭을 확인한다.,-0.3474,-0.4053,-0.0542,-0.19659486250947292,False
sentence_length_cv,문장 길이 변동계수,한계 지표,문장 길이 변동계수. 긴 문장과 짧은 문장이 얼마나 섞이는지 확인한다.,-0.4454,-0.5472,-0.1658,-0.30843220684026207,False
modifier_repetition_mass,수식어 반복 질량,한계 지표,전체 수식어 반복 질량. 수식 표현 재사용이 누적되는 정도를 확인한다.,0.1566,-0.2328,-0.383,-0.4485454262200906,False
content_modifier_repeat_occurrence_rate,내용어 중 수식어 반복률,한계 지표,내용어 중 수식어 반복 출현률. 의미 있는 수식 표현이 얼마나 반복되는지 확인한다.,0.1471,-0.2409,-0.3787,-0.4561327308441571,False
